,Actual Label,Predicted Label
2755,BENIGN,BENIGN
2757,BENIGN,BENIGN
2758,BENIGN,BENIGN
2760,BENIGN,BENIGN
2767,BENIGN,BENIGN
2769,BENIGN,BENIGN
2771,BENIGN,BENIGN
2776,BENIGN,BENIGN
2778,BENIGN,BENIGN
2782,BENIGN,BENIGN
2783,BENIGN,BENIGN
2784,BENIGN,BENIGN
2785,BENIGN,BENIGN
2788,BENIGN,BENIGN
2789,BENIGN,BENIGN
2791,BENIGN,BENIGN
2796,BENIGN,BENIGN
2800,BENIGN,BENIGN
2801,BENIGN,BENIGN
2803,BENIGN,BENIGN
2804,BENIGN,BENIGN
2806,BENIGN,BENIGN
2811,BENIGN,BENIGN
2813,BENIGN,BENIGN
2815,BENIGN,BENIGN
2818,BENIGN,BENIGN
2826,BENIGN,BENIGN
2827,BENIGN,BENIGN
2831,BENIGN,BENIGN
2832,BENIGN,BENIGN
2833,BENIGN,BENIGN
2841,BENIGN,BENIGN
2842,BENIGN,BENIGN
